Year,Result
1928,39.62
1932,40.58
1936,47.63
1948,41.92
1952,51.42
1956,53.69
1960,55.1
1964,57.27
1968,58.28
1972,66.62
1976,69
1980,69.96
1984,65.36
1988,72.3
1992,70.06
1996,69.66
2000,68.4
2004,67.02
2008,64.74
